AlertID,LoginID,UserID,AlertType,AlertSeverity
1,1,17,Suspicious Login,High
2,14,86,Suspicious Login,High
3,26,2,Suspicious Login,High
4,42,38,Suspicious Login,High
5,65,17,Suspicious Login,High
6,85,11,Suspicious Login,High
7,96,29,Suspicious Login,High
8,118,69,Suspicious Login,High
9,156,67,Suspicious Login,High
10,161,24,Suspicious Login,High
11,162,60,Suspicious Login,High
12,170,60,Suspicious Login,High
13,176,6,Suspicious Login,High
14,177,75,Suspicious Login,High
15,179,12,Suspicious Login,High
16,191,84,Suspicious Login,High
17,193,69,Suspicious Login,High
18,207,11,Suspicious Login,High
19,208,71,Suspicious Login,High
20,217,81,Suspicious Login,High
21,218,30,Suspicious Login,High
22,220,16,Suspicious Login,High
23,224,7,Suspicious Login,High
24,236,90,Suspicious Login,High
25,239,98,Suspicious Login,High
26,256,29,Suspicious Login,High
27,262,30,Suspicious Login,High
28,263,50,Suspicious Login,High
29,264,60,Suspicious Login,High
30,268,86,Suspicious Login,High
31,286,7,Suspicious Login,High
32,287,1,Suspicious Login,High
33,299,87,Suspicious Login,High
34,300,53,Suspicious Login,High
35,301,7,Suspicious Login,High
36,308,98,Suspicious Login,High
37,316,53,Suspicious Login,High
38,320,62,Suspicious Login,High
39,347,48,Suspicious Login,High
40,357,46,Suspicious Login,High
41,374,79,Suspicious Login,High
42,383,72,Suspicious Login,High
43,387,71,Suspicious Login,High
44,397,6,Suspicious Login,High
45,401,35,Suspicious Login,High
46,409,60,Suspicious Login,High
47,418,99,Suspicious Login,High
48,422,5,Suspicious Login,High
49,428,74,Suspicious Login,High
50,433,84,Suspicious Login,High
51,458,69,Suspicious Login,High
52,467,8,Suspicious Login,High
53,483,33,Suspicious Login,High
54,485,91,Suspicious Login,High
55,497,87,Brute Force,High
