AlertID,LoginID,UserID,AlertType,AlertSeverity
1,9,17,Suspicious Login,High
2,12,83,Suspicious Login,High
3,36,65,Suspicious Login,High
4,38,56,Suspicious Login,High
5,44,48,Suspicious Login,High
6,47,17,Suspicious Login,High
7,61,76,Suspicious Login,High
8,62,23,Suspicious Login,High
9,68,44,Brute Force,High
9,76,70,Suspicious Login,High
10,81,90,Suspicious Login,High
11,93,57,Suspicious Login,High
12,101,64,Suspicious Login,High
13,109,100,Suspicious Login,High
14,115,36,Suspicious Login,High
15,125,7,Suspicious Login,High
16,144,5,Suspicious Login,High
17,151,7,Suspicious Login,High
18,155,94,Suspicious Login,High
19,156,73,Suspicious Login,High
20,157,59,Suspicious Login,High
21,161,52,Suspicious Login,High
22,163,3,Suspicious Login,High
23,165,36,Suspicious Login,High
24,173,42,Suspicious Login,High
25,182,36,Suspicious Login,High
26,183,13,Suspicious Login,High
27,200,100,Suspicious Login,High
28,211,71,Suspicious Login,High
29,221,71,Brute Force,High
29,229,74,Suspicious Login,High
30,260,44,Brute Force,High
30,262,59,Suspicious Login,High
31,272,66,Suspicious Login,High
32,277,83,Suspicious Login,High
33,278,100,Suspicious Login,High
34,304,65,Suspicious Login,High
35,309,13,Suspicious Login,High
36,313,100,Brute Force,High
36,316,42,Suspicious Login,High
37,318,93,Suspicious Login,High
38,319,100,Suspicious Login,High
39,349,53,Suspicious Login,High
40,352,34,Suspicious Login,High
41,368,69,Suspicious Login,High
42,371,23,Brute Force,High
42,379,47,Suspicious Login,High
43,404,14,Brute Force,High
43,410,100,Suspicious Login,High
44,445,3,Suspicious Login,High
45,464,66,Suspicious Login,High
46,485,65,Suspicious Login,High
47,493,24,Suspicious Login,High
48,495,13,Suspicious Login,High
49,497,95,Suspicious Login,High
