DeviceID,UserID,DeviceType,OperatingSystem,TrustDevice
1,21,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
2,65,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
3,50,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
4,23,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
5,48,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
6,37,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
7,100,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
8,66,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
9,35,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
10,37,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
11,22,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
12,15,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
13,50,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
14,40,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
15,94,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
16,44,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
17,7,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
18,56,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
19,6,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
20,42,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
21,84,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
22,6,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
23,13,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
24,70,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
25,5,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
26,38,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
27,18,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
28,52,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
29,49,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
30,11,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
31,52,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
32,18,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
33,46,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
34,83,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
35,33,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
36,78,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
37,53,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
38,85,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
39,56,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
40,25,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
41,7,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
42,86,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
43,47,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
44,39,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
45,55,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
46,20,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
47,69,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
48,76,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
49,90,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
50,51,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
51,93,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
52,64,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
53,94,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
54,1,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
55,62,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
56,29,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
57,48,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
58,95,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
59,77,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
60,6,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
61,37,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
62,57,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
63,49,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
64,11,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
65,57,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
66,57,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
67,80,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
