LoginID,UserID,DeviceID,LoginTime,IPAddress,Country,LoginMethod,LoginStatus,RiskLevel
1,94,15,2026-05-19 00:26:00,117.246.128.215,India,MFA,Success,Low
2,31,141,2026-06-28 18:39:00,55.75.247.77,USA,Password,Success,Low
3,80,129,2026-03-05 18:45:00,142.38.238.96,Canada,SSO,Success,Medium
4,62,55,2026-06-17 22:57:00,28.189.111.243,Canada,MFA,Success,Low
5,23,4,2026-02-09 13:16:00,208.136.22.204,Canada,SSO,Success,Low
6,47,135,2026-03-09 20:12:00,242.124.241.146,India,Password,Failure,Low
7,70,24,2026-06-11 07:21:00,250.31.77.26,UK,MFA,Success,Low
8,46,33,2026-04-25 23:33:00,161.43.32.139,Canada,SSO,Success,Low
9,17,139,2026-06-25 02:09:00,104.255.195.150,UK,Password,Success,High
10,37,6,2026-01-19 18:44:00,8.67.7.33,Canada,MFA,Success,Low
11,6,22,2026-04-10 11:14:00,71.173.2.180,USA,MFA,Success,Low
12,83,34,2026-02-13 00:13:00,109.164.29.136,India,MFA,Success,High
13,19,142,2026-06-17 02:05:00,61.81.245.46,India,Password,Success,Low
14,49,63,2026-05-05 05:26:00,228.215.73.201,Canada,MFA,Success,Medium
15,51,50,2026-06-17 03:51:00,154.5.25.255,UK,SSO,Success,Low
16,42,20,2026-03-10 05:27:00,200.104.253.42,India,Password,Success,Low
17,63,68,2026-01-13 16:24:00,139.18.9.14,Canada,SSO,Success,Low
18,66,8,2026-05-08 09:07:00,234.221.75.166,USA,SSO,Success,Low
19,57,62,2026-03-05 06:10:00,230.32.130.31,India,SSO,Success,Medium
20,10,108,2026-04-28 00:39:00,155.129.58.189,UK,SSO,Success,Medium
21,82,70,2026-05-07 16:04:00,136.44.31.226,USA,MFA,Success,Low
22,88,146,2026-06-19 01:33:00,210.179.175.244,India,Password,Success,Low
23,18,32,2026-02-06 12:44:00,163.176.238.200,Canada,SSO,Success,Low
24,22,11,2026-03-07 11:12:00,96.20.8.194,USA,MFA,Success,Low
25,69,47,2026-06-22 07:56:00,40.41.199.230,UK,Password,Success,Low
26,56,18,2026-04-15 02:37:00,81.77.52.12,UK,Password,Failure,Low
27,71,107,2026-06-04 00:25:00,214.74.73.153,Canada,SSO,Success,Low
28,44,16,2026-03-06 22:34:00,146.81.76.183,India,Password,Success,Low
29,40,14,2026-01-05 09:32:00,230.68.113.87,India,MFA,Failure,Low
30,72,76,2026-04-24 10:30:00,217.194.110.230,India,MFA,Success,Low
31,84,21,2026-02-11 22:17:00,73.229.57.25,UK,SSO,Success,Low
32,7,41,2026-02-25 08:00:00,17.181.33.42,UK,MFA,Success,Low
33,98,93,2026-04-08 09:55:00,179.48.253.203,UK,MFA,Success,Low
34,70,88,2026-04-19 14:01:00,15.58.209.208,Canada,MFA,Success,Medium
35,100,119,2026-02-19 17:47:00,126.138.86.8,USA,SSO,Failure,Medium
36,65,131,2026-06-29 12:29:00,9.102.122.13,India,Password,Success,High
37,89,84,2026-01-28 18:44:00,30.77.49.254,India,SSO,Failure,Low
38,56,126,2026-06-11 01:57:00,44.144.199.112,Canada,MFA,Success,High
39,69,47,2026-04-22 08:45:00,201.198.1.240,USA,SSO,Success,Low
40,88,146,2026-03-30 08:41:00,81.70.227.12,Canada,SSO,Success,Low
41,37,6,2026-03-29 14:53:00,132.211.120.15,USA,Password,Success,Medium
42,54,98,2026-05-12 05:49:00,62.44.91.252,UK,Password,Success,Medium
43,37,91,2026-03-15 04:05:00,251.0.89.5,UK,Password,Success,Medium
44,48,5,2026-05-04 02:06:00,23.213.85.202,UK,Password,Success,High
45,53,37,2026-02-04 18:06:00,248.51.234.69,Canada,SSO,Success,Low
46,52,28,2026-01-09 07:04:00,249.240.38.201,USA,Password,Success,Low
